Domain,Error Count,Warning Count,Error Details[0],Warning Details[0]
admin.zerocarbon.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
admincp.broadband.net.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
admincpe.ucp.edu.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
admin.weship.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
admin.walee.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
admission.gu.edu.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
admin.t-electronics.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
admission.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
admission.lumhs.edu.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
adminbackend.pakistansweethome.org.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
admission.uoh.edu.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
admission.szabmu.edu.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
admissions.ajku.edu.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
admission.must.edu.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
admission.multanust.edu.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
admissions.cust.edu.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
admissions.case.edu.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
admissions.cedar.edu.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
admissions.duhs.edu.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
admissions.kohat.edu.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
admissions.gandhara.edu.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
admissions.pide.org.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
admissions.rwu.edu.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
admissions.quest.edu.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
admissions.iefr.edu.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
admissions.imdcollege.edu.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
admissions.uettaxila.edu.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
admissions.uo.edu.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
adsprofit.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
advancetelecom.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
aeo.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
aeronet.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
aempro.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
aeontrisl.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
aew.net.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
aestheticslab.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
af.org.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
afclothing.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
afham.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
afmdc.edu.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
afaq.edu.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
afras.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
agahe.org.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
agent11.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
afzalenterprises.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
afss.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
agahi.org.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
ahf.rasco.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
agu.edu.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
agronomics.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
agrosteel.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
ahmadjamal.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
ahmedcorp.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
ahsanautos.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
ahmadfabrics.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
ahfcl.org.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
ahrsolutions.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
ahmedfitness.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
ahan.org.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
admission.cust.edu.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
aifd.edu.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
aimec.edu.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
aimstextile.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
airhostess.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
aioututor.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
aimms.edu.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
aitadal.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
aisecurity.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
aiouenrollment.net.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
ainak.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
aispak.edu.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
ainotes.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
ait.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
admissions.maju.edu.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
ajked.gok.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
aksa.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
albaikpakistan.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
ala.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
akhuwatloan.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
ajmery.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
al-amynschool.edu.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
albakio.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
adtest.ucp.edu.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
ajkassembly.gok.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
aleemkhan.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
alerts.etracking.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
akzonobel.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
alfatah.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
alahmar.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
alibabasp.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
alifpakistan.pk,1,0,e_dnsname_not_valid_tld,
alhafeez.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
alhuda.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
aljalildevelopers.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
alifat.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
alltech.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
alkaramgold.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
alhassan.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
allprizebond.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
alkhaliq.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
almunir.edu.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
allyours.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
almujtaba.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
alphachemicals.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
alrahman.janggroup.com.pk,0,1,,w_tls_server_cert_valid_time_longer_than_397_days
alumni.namal.edu.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
alpha.edu.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
alsibgha.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
alt.infini.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
amcl.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
amdhouse.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
aloha.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
alqudstrading.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
alumni.gift.edu.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
am99.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
americanlycetuffdnk.edu.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
ample.org.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
amforia.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
ambile.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
ams.brsp.org.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
amts.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
amspower.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
analysteye.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
amirtraders.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
amir.host.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
anfnorthregion.gov.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
amdc.edu.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
anarkalicrafting.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
antlere.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
anas.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
android.districtcourtschitral.gov.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
anhaar.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
aofmobile-multinet-staging.nextventures.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
api-jazz.ding.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
apexminerals.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
api.dma.gov.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
apexgroup.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
api.cloudcall.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
api.gourmetfoods.pk,0,1,,w_tls_server_cert_valid_time_longer_than_397_days
antispam.comsats.net.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
api.app.walee.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
api.clearpathortho.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
anali.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
api.gofoods.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
api.enterprise.walee.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
api.jarvis.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
api.affiliates.master.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
api.fasttravel.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
api.insights.walee.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
api.odiking.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
api.mhpss.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
api.mercantile.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
api.labcloud.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
api.mobile.walee.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
api.relisystems.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
admissions.iiui.edu.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
api.shipkardo.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
api.weship.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
api.udhaar.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
api2.master.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
api.sayr.pk,0,1,,w_tls_server_cert_valid_time_longer_than_397_days
api.weblisting.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
apnatime.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
apnahero.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
apl.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
app-api.clicky.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
apnijob.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
apnichhatapnaghar.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
apollo.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
apnilab.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
app.citys.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
app.dresspoint.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
anps.app.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
app.detox.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
app.flycourier.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
app.greenery.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
app.halka.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
app.madigital.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
app.paraschool.edu.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
app.petmania.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
app.its.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
app.tsssc.edu.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
app.sehgalmotors.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
app.udhaar.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
app.shiraz.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
